      Step     Time          Energy          fmax
BFGS:    0 14:46:44      100.429583       29.492775
BFGS:    1 14:46:44       94.123653        8.531186
BFGS:    2 14:46:44       91.842562        3.043977
BFGS:    3 14:46:44       91.184701        1.578809
BFGS:    4 14:46:44       90.818541        0.928207
BFGS:    5 14:46:44       90.577944        1.036872
BFGS:    6 14:46:44       90.398612        0.984399
BFGS:    7 14:46:45       90.322425        0.828025
BFGS:    8 14:46:45       90.275848        0.656210
BFGS:    9 14:46:45       90.236887        0.442031
BFGS:   10 14:46:45       90.211222        0.542358
BFGS:   11 14:46:45       90.190438        0.336167
BFGS:   12 14:46:46       90.177131        0.309261
BFGS:   13 14:46:46       90.165250        0.298570
BFGS:   14 14:46:46       90.154725        0.383443
BFGS:   15 14:46:46       90.143671        0.399043
BFGS:   16 14:46:46       90.132012        0.270908
BFGS:   17 14:46:46       90.121576        0.255840
BFGS:   18 14:46:46       90.113700        0.192459
BFGS:   19 14:46:46       90.106407        0.258395
BFGS:   20 14:46:47       90.097325        0.266898
BFGS:   21 14:46:47       90.088396        0.203236
BFGS:   22 14:46:47       90.082232        0.145081
BFGS:   23 14:46:47       90.077855        0.123177
BFGS:   24 14:46:47       90.073541        0.176996
BFGS:   25 14:46:47       90.067807        0.184288
BFGS:   26 14:46:47       90.061566        0.232415
BFGS:   27 14:46:47       90.057086        0.198442
BFGS:   28 14:46:47       90.053931        0.131952
BFGS:   29 14:46:47       90.051035        0.134557
BFGS:   30 14:46:48       90.047586        0.170837
      Step     Time          Energy          fmax
BFGS:    0 14:53:54      100.429583       29.492775
BFGS:    1 14:53:54       94.123653        8.531186
BFGS:    2 14:53:54       91.842562        3.043977
BFGS:    3 14:53:54       91.184701        1.578809
BFGS:    4 14:53:54       90.818541        0.928207
BFGS:    5 14:53:54       90.577944        1.036872
BFGS:    6 14:53:54       90.398612        0.984399
BFGS:    7 14:53:55       90.322425        0.828025
BFGS:    8 14:53:55       90.275848        0.656210
BFGS:    9 14:53:55       90.236887        0.442031
BFGS:   10 14:53:55       90.211222        0.542358
BFGS:   11 14:53:55       90.190438        0.336167
BFGS:   12 14:53:55       90.177131        0.309261
BFGS:   13 14:53:55       90.165250        0.298570
BFGS:   14 14:53:55       90.154725        0.383443
BFGS:   15 14:53:55       90.143671        0.399043
BFGS:   16 14:53:55       90.132012        0.270908
BFGS:   17 14:53:56       90.121576        0.255840
BFGS:   18 14:53:56       90.113700        0.192459
BFGS:   19 14:53:56       90.106407        0.258395
BFGS:   20 14:53:56       90.097325        0.266898
BFGS:   21 14:53:56       90.088396        0.203236
BFGS:   22 14:53:56       90.082232        0.145081
BFGS:   23 14:53:56       90.077855        0.123177
BFGS:   24 14:53:56       90.073541        0.176996
BFGS:   25 14:53:56       90.067807        0.184288
BFGS:   26 14:53:56       90.061566        0.232415
BFGS:   27 14:53:56       90.057086        0.198442
BFGS:   28 14:53:57       90.053931        0.131952
BFGS:   29 14:53:57       90.051035        0.134557
BFGS:   30 14:53:57       90.047586        0.170837
      Step     Time          Energy          fmax
BFGS:    0 17:58:06      100.429583       29.492775
BFGS:    1 17:58:06       94.123653        8.531186
BFGS:    2 17:58:06       91.842562        3.043977
BFGS:    3 17:58:07       91.184701        1.578809
BFGS:    4 17:58:07       90.818541        0.928207
BFGS:    5 17:58:07       90.577944        1.036872
BFGS:    6 17:58:07       90.398612        0.984399
BFGS:    7 17:58:07       90.322425        0.828025
BFGS:    8 17:58:07       90.275848        0.656210
BFGS:    9 17:58:07       90.236887        0.442031
BFGS:   10 17:58:07       90.211222        0.542358
BFGS:   11 17:58:08       90.190438        0.336167
BFGS:   12 17:58:08       90.177131        0.309261
BFGS:   13 17:58:08       90.165250        0.298570
BFGS:   14 17:58:08       90.154725        0.383443
BFGS:   15 17:58:08       90.143671        0.399043
BFGS:   16 17:58:08       90.132012        0.270908
BFGS:   17 17:58:08       90.121576        0.255840
BFGS:   18 17:58:08       90.113700        0.192459
BFGS:   19 17:58:09       90.106407        0.258395
BFGS:   20 17:58:09       90.097325        0.266898
BFGS:   21 17:58:09       90.088396        0.203236
BFGS:   22 17:58:09       90.082232        0.145081
BFGS:   23 17:58:09       90.077855        0.123177
BFGS:   24 17:58:09       90.073541        0.176996
BFGS:   25 17:58:09       90.067807        0.184288
BFGS:   26 17:58:09       90.061566        0.232415
BFGS:   27 17:58:10       90.057086        0.198442
BFGS:   28 17:58:10       90.053931        0.131952
BFGS:   29 17:58:10       90.051035        0.134557
BFGS:   30 17:58:10       90.047586        0.170837
