      Step     Time          Energy          fmax
BFGS:    0 14:46:06       98.857028       22.900827
BFGS:    1 14:46:06       93.354198        7.021966
BFGS:    2 14:46:06       91.628742        2.774464
BFGS:    3 14:46:06       91.059024        1.186028
BFGS:    4 14:46:07       90.751315        0.913343
BFGS:    5 14:46:07       90.523652        1.017958
BFGS:    6 14:46:07       90.360325        0.969329
BFGS:    7 14:46:07       90.292431        0.709881
BFGS:    8 14:46:07       90.249989        0.538621
BFGS:    9 14:46:07       90.217446        0.394920
BFGS:   10 14:46:07       90.196573        0.479163
BFGS:   11 14:46:07       90.178950        0.299008
BFGS:   12 14:46:07       90.167207        0.298879
BFGS:   13 14:46:08       90.156736        0.284883
BFGS:   14 14:46:08       90.147099        0.361175
BFGS:   15 14:46:08       90.136648        0.370164
BFGS:   16 14:46:08       90.125348        0.246530
BFGS:   17 14:46:08       90.115063        0.263110
BFGS:   18 14:46:08       90.107161        0.202123
BFGS:   19 14:46:08       90.099799        0.246610
BFGS:   20 14:46:08       90.090784        0.254867
BFGS:   21 14:46:08       90.081791        0.233749
BFGS:   22 14:46:09       90.075493        0.165851
BFGS:   23 14:46:09       90.071141        0.115030
BFGS:   24 14:46:09       90.067087        0.161083
BFGS:   25 14:46:09       90.061941        0.180963
BFGS:   26 14:46:09       90.056144        0.235440
BFGS:   27 14:46:09       90.051750        0.207145
BFGS:   28 14:46:09       90.048750        0.142739
BFGS:   29 14:46:09       90.046020        0.123546
BFGS:   30 14:46:09       90.042689        0.179337
      Step     Time          Energy          fmax
BFGS:    0 14:53:13       98.857028       22.900827
BFGS:    1 14:53:13       93.354198        7.021966
BFGS:    2 14:53:13       91.628742        2.774464
BFGS:    3 14:53:14       91.059024        1.186028
BFGS:    4 14:53:14       90.751315        0.913343
BFGS:    5 14:53:14       90.523652        1.017958
BFGS:    6 14:53:14       90.360325        0.969329
BFGS:    7 14:53:14       90.292431        0.709881
BFGS:    8 14:53:14       90.249989        0.538621
BFGS:    9 14:53:14       90.217446        0.394920
BFGS:   10 14:53:14       90.196573        0.479163
BFGS:   11 14:53:15       90.178950        0.299008
BFGS:   12 14:53:15       90.167207        0.298879
BFGS:   13 14:53:15       90.156736        0.284883
BFGS:   14 14:53:15       90.147099        0.361175
BFGS:   15 14:53:15       90.136648        0.370164
BFGS:   16 14:53:15       90.125348        0.246530
BFGS:   17 14:53:15       90.115063        0.263110
BFGS:   18 14:53:15       90.107161        0.202123
BFGS:   19 14:53:15       90.099799        0.246610
BFGS:   20 14:53:16       90.090784        0.254867
BFGS:   21 14:53:16       90.081791        0.233749
BFGS:   22 14:53:16       90.075493        0.165851
BFGS:   23 14:53:16       90.071141        0.115030
BFGS:   24 14:53:16       90.067087        0.161083
BFGS:   25 14:53:16       90.061941        0.180963
BFGS:   26 14:53:16       90.056144        0.235440
BFGS:   27 14:53:16       90.051750        0.207145
BFGS:   28 14:53:16       90.048750        0.142739
BFGS:   29 14:53:17       90.046020        0.123546
BFGS:   30 14:53:17       90.042689        0.179337
      Step     Time          Energy          fmax
BFGS:    0 17:57:28       98.857028       22.900827
BFGS:    1 17:57:28       93.354198        7.021966
BFGS:    2 17:57:28       91.628742        2.774464
BFGS:    3 17:57:28       91.059024        1.186028
BFGS:    4 17:57:28       90.751315        0.913343
BFGS:    5 17:57:29       90.523652        1.017958
BFGS:    6 17:57:29       90.360325        0.969329
BFGS:    7 17:57:29       90.292431        0.709881
BFGS:    8 17:57:29       90.249989        0.538621
BFGS:    9 17:57:29       90.217446        0.394920
BFGS:   10 17:57:29       90.196573        0.479163
BFGS:   11 17:57:29       90.178950        0.299008
BFGS:   12 17:57:29       90.167207        0.298879
BFGS:   13 17:57:30       90.156736        0.284883
BFGS:   14 17:57:30       90.147099        0.361175
BFGS:   15 17:57:30       90.136648        0.370164
BFGS:   16 17:57:30       90.125348        0.246530
BFGS:   17 17:57:30       90.115063        0.263110
BFGS:   18 17:57:30       90.107161        0.202123
BFGS:   19 17:57:30       90.099799        0.246610
BFGS:   20 17:57:30       90.090784        0.254867
BFGS:   21 17:57:30       90.081791        0.233749
BFGS:   22 17:57:30       90.075493        0.165851
BFGS:   23 17:57:31       90.071141        0.115030
BFGS:   24 17:57:31       90.067087        0.161083
BFGS:   25 17:57:31       90.061941        0.180963
BFGS:   26 17:57:31       90.056144        0.235440
BFGS:   27 17:57:31       90.051750        0.207145
BFGS:   28 17:57:31       90.048750        0.142739
BFGS:   29 17:57:31       90.046020        0.123546
BFGS:   30 17:57:31       90.042689        0.179337
