Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000      -15991.4538  -15995.6414       4.1876   330.6
0.0005      -15991.4818  -15995.5327       4.0509   319.8
0.0010      -15991.4885  -15995.2410       3.7525   296.2
0.0015      -15991.4786  -15994.8594       3.3808   266.9
0.0020      -15991.4525  -15994.5001       3.0477   240.6
0.0025      -15991.4140  -15994.2419       2.8280   223.2
0.0030      -15991.3684  -15994.0977       2.7293   215.5
0.0035      -15991.3188  -15994.0212       2.7024   213.3
0.0040      -15991.2672  -15993.9464       2.6792   211.5
0.0045      -15991.2116  -15993.8235       2.6120   206.2
0.0050      -15991.1504  -15993.6424       2.4920   196.7
0.0055      -15991.0813  -15993.4292       2.3479   185.3
0.0060      -15991.0060  -15993.2346       2.2286   175.9
0.0065      -15990.9256  -15993.1096       2.1840   172.4
0.0070      -15990.8453  -15993.0891       2.2438   177.1
0.0075      -15990.7705  -15993.1726       2.4021   189.6
0.0080      -15990.7051  -15993.3195       2.6143   206.4
0.0085      -15990.6505  -15993.4635       2.8130   222.1
0.0090      -15990.6034  -15993.5409       2.9375   231.9
0.0095      -15990.5593  -15993.5220       2.9628   233.9
0.0100      -15990.5137  -15993.4256       2.9119   229.9
0.0105      -15990.4668  -15993.3083       2.8415   224.3
0.0110      -15990.4180  -15993.2257       2.8078   221.7
0.0115      -15990.3703  -15993.2048       2.8345   223.8
0.0120      -15990.3257  -15993.2320       2.9063   229.4
0.0125      -15990.2847  -15993.2695       2.9847   235.6
0.0130      -15990.2470  -15993.2796       3.0326   239.4
0.0135      -15990.2095  -15993.2415       3.0320   239.3
0.0140      -15990.1701  -15993.1598       2.9897   236.0
0.0145      -15990.1278  -15993.0598       2.9320   231.5
0.0150      -15990.0822  -15992.9754       2.8932   228.4
0.0155      -15990.0367  -15992.9370       2.9003   229.0
0.0160      -15989.9923  -15992.9538       2.9615   233.8
0.0165      -15989.9523  -15993.0142       3.0620   241.7
0.0170      -15989.9178  -15993.0862       3.1684   250.1
0.0175      -15989.8877  -15993.1329       3.2452   256.2
0.0180      -15989.8601  -15993.1353       3.2752   258.6
0.0185      -15989.8325  -15993.1048       3.2723   258.3
0.0190      -15989.8052  -15993.0752       3.2700   258.1
0.0195      -15989.7798  -15993.0717       3.2918   259.9
0.0200      -15989.7564  -15993.0864       3.3299   262.9
0.0205      -15989.7358  -15993.0873       3.3514   264.6
0.0210      -15989.7134  -15993.0410       3.3276   262.7
0.0215      -15989.6876  -15992.9431       3.2555   257.0
0.0220      -15989.6576  -15992.8177       3.1601   249.5
0.0225      -15989.6229  -15992.7026       3.0797   243.1
0.0230      -15989.5858  -15992.6327       3.0469   240.5
0.0235      -15989.5483  -15992.6259       3.0776   242.9
0.0240      -15989.5136  -15992.6805       3.1669   250.0
0.0245      -15989.4843  -15992.7746       3.2903   259.7
0.0250      -15989.4608  -15992.8712       3.4104   269.2
0.0255      -15989.4435  -15992.9323       3.4888   275.4
0.0260      -15989.4269  -15992.9303       3.5033   276.6
0.0265      -15989.4085  -15992.8691       3.4606   273.2
0.0270      -15989.3866  -15992.7835       3.3969   268.2
0.0275      -15989.3626  -15992.7193       3.3568   265.0
0.0280      -15989.3404  -15992.7040       3.3637   265.5
0.0285      -15989.3196  -15992.7240       3.4043   268.7
0.0290      -15989.3009  -15992.7413       3.4404   271.6
0.0295      -15989.2828  -15992.7202       3.4375   271.4
0.0300      -15989.2624  -15992.6489       3.3865   267.3
0.0305      -15989.2400  -15992.5457       3.3058   261.0
0.0310      -15989.2132  -15992.4423       3.2291   254.9
0.0315      -15989.1836  -15992.3698       3.1862   251.5
0.0320      -15989.1532  -15992.3440       3.1908   251.9
0.0325      -15989.1239  -15992.3633       3.2394   255.7
0.0330      -15989.0976  -15992.4131       3.3154   261.7
0.0335      -15989.0753  -15992.4701       3.3949   268.0
0.0340      -15989.0564  -15992.5078       3.4514   272.5
0.0345      -15989.0392  -15992.5052       3.4661   273.6
0.0350      -15989.0205  -15992.4619       3.4414   271.7
0.0355      -15988.9997  -15992.4061       3.4064   268.9
0.0360      -15988.9781  -15992.3821       3.4041   268.7
0.0365      -15988.9591  -15992.4192       3.4601   273.1
0.0370      -15988.9453  -15992.5041       3.5588   280.9
0.0375      -15988.9363  -15992.5865       3.6501   288.1
0.0380      -15988.9307  -15992.6125       3.6818   290.6
0.0385      -15988.9238  -15992.5526       3.6289   286.5
0.0390      -15988.9118  -15992.4167       3.5049   276.7
0.0395      -15988.8927  -15992.2486       3.3559   264.9
0.0400      -15988.8665  -15992.1086       3.2421   255.9
0.0405      -15988.8377  -15992.0483       3.2106   253.5
0.0410      -15988.8099  -15992.0823       3.2723   258.3
0.0415      -15988.7873  -15992.1831       3.3958   268.1
0.0420      -15988.7713  -15992.2932       3.5220   278.0
0.0425      -15988.7598  -15992.3533       3.5935   283.7
0.0430      -15988.7496  -15992.3295       3.5799   282.6
0.0435      -15988.7361  -15992.2292       3.4931   275.8
0.0440      -15988.7169  -15992.1019       3.3849   267.2
0.0445      -15988.6938  -15992.0160       3.3221   262.3
0.0450      -15988.6706  -15992.0187       3.3481   264.3
0.0455      -15988.6524  -15992.1064       3.4541   272.7
0.0460      -15988.6394  -15992.2278       3.5884   283.3
0.0465      -15988.6314  -15992.3220       3.6905   291.3
0.0470      -15988.6268  -15992.3470       3.7203   293.7
0.0475      -15988.6217  -15992.2893       3.6677   289.5
0.0480      -15988.6130  -15992.1624       3.5494   280.2
0.0485      -15988.5974  -15992.0014       3.4040   268.7
0.0490      -15988.5748  -15991.8547       3.2799   258.9
0.0495      -15988.5478  -15991.7664       3.2186   254.1
0.0500      -15988.5199  -15991.7596       3.2397   255.7
0.0505      -15988.4949  -15991.8259       3.3310   263.0
0.0510      -15988.4765  -15991.9280       3.4515   272.5
0.0515      -15988.4635  -15992.0122       3.5487   280.1
0.0520      -15988.4532  -15992.0375       3.5843   283.0
0.0525      -15988.4420  -15991.9982       3.5562   280.7
0.0530      -15988.4283  -15991.9277       3.4993   276.2
0.0535      -15988.4138  -15991.8707       3.4569   272.9
0.0540      -15988.3989  -15991.8441       3.4452   272.0
0.0545      -15988.3834  -15991.8297       3.4464   272.1
0.0550      -15988.3662  -15991.8011       3.4349   271.2
0.0555      -15988.3469  -15991.7507       3.4038   268.7
0.0560      -15988.3253  -15991.6909       3.3656   265.7
0.0565      -15988.3026  -15991.6404       3.3377   263.5
0.0570      -15988.2786  -15991.6138       3.3352   263.3
0.0575      -15988.2548  -15991.6222       3.3674   265.8
0.0580      -15988.2337  -15991.6688       3.4351   271.2
0.0585      -15988.2169  -15991.7417       3.5249   278.3
0.0590      -15988.2054  -15991.8148       3.6094   284.9
0.0595      -15988.1973  -15991.8550       3.6577   288.7
0.0600      -15988.1904  -15991.8377       3.6473   287.9
0.0605      -15988.1806  -15991.7586       3.5780   282.5
0.0610      -15988.1663  -15991.6459       3.4796   274.7
0.0615      -15988.1465  -15991.5545       3.4080   269.0
0.0620      -15988.1260  -15991.5405       3.4145   269.6
0.0625      -15988.1102  -15991.6145       3.5043   276.6
0.0630      -15988.1003  -15991.7243       3.6240   286.1
0.0635      -15988.0947  -15991.7940       3.6993   292.0
0.0640      -15988.0888  -15991.7782       3.6895   291.3
0.0645      -15988.0800  -15991.6873       3.6073   284.8
0.0650      -15988.0671  -15991.5671       3.5000   276.3
0.0655      -15988.0498  -15991.4672       3.4174   269.8
0.0660      -15988.0304  -15991.4236       3.3931   267.9
0.0665      -15988.0108  -15991.4488       3.4380   271.4
0.0670      -15987.9949  -15991.5322       3.5373   279.2
0.0675      -15987.9848  -15991.6377       3.6528   288.4
0.0680      -15987.9793  -15991.7163       3.7369   295.0
0.0685      -15987.9765  -15991.7310       3.7544   296.4
0.0690      -15987.9714  -15991.6747       3.7033   292.3
0.0695      -15987.9618  -15991.5806       3.6187   285.7
0.0700      -15987.9477  -15991.5090       3.5613   281.1
0.0705      -15987.9344  -15991.5204       3.5860   283.1
0.0710      -15987.9260  -15991.6317       3.7057   292.5
0.0715      -15987.9259  -15991.7996       3.8736   305.8
0.0720      -15987.9326  -15991.9436       4.0110   316.6
0.0725      -15987.9440  -15992.0033       4.0593   320.4
0.0730      -15987.9545  -15991.9672       4.0128   316.8
0.0735      -15987.9620  -15991.8702       3.9082   308.5
0.0740      -15987.9652  -15991.7591       3.7940   299.5
0.0745      -15987.9633  -15991.6709       3.7076   292.7
0.0750      -15987.9581  -15991.6294       3.6714   289.8
0.0755      -15987.9521  -15991.6459       3.6938   291.6
0.0760      -15987.9489  -15991.7112       3.7622   297.0
0.0765      -15987.9505  -15991.7884       3.8378   303.0
0.0770      -15987.9549  -15991.8229       3.8681   305.4
0.0775      -15987.9587  -15991.7730       3.8144   301.1
0.0780      -15987.9563  -15991.6344       3.6781   290.4
0.0785      -15987.9450  -15991.4503       3.5053   276.7
0.0790      -15987.9258  -15991.2917       3.3660   265.7
0.0795      -15987.9027  -15991.2192       3.3165   261.8
0.0800      -15987.8817  -15991.2436       3.3619   265.4
0.0805      -15987.8638  -15991.3178       3.4539   272.7
0.0810      -15987.8485  -15991.3766       3.5280   278.5
0.0815      -15987.8338  -15991.3832       3.5494   280.2
0.0820      -15987.8191  -15991.3485       3.5293   278.6
0.0825      -15987.8029  -15991.3111       3.5082   276.9
0.0830      -15987.7867  -15991.3140       3.5273   278.5
0.0835      -15987.7730  -15991.3837       3.6107   285.0
0.0840      -15987.7651  -15991.5235       3.7584   296.7
0.0845      -15987.7666  -15991.7103       3.9436   311.3
0.0850      -15987.7781  -15991.8966       4.1185   325.1
0.0855      -15987.7975  -15992.0246       4.2271   333.7
0.0860      -15987.8201  -15992.0496       4.2295   333.9
0.0865      -15987.8394  -15991.9635       4.1241   325.6
0.0870      -15987.8509  -15991.8060       3.9550   312.2
0.0875      -15987.8540  -15991.6522       3.7982   299.8
0.0880      -15987.8524  -15991.5731       3.7206   293.7
0.0885      -15987.8510  -15991.5852       3.7343   294.8
0.0890      -15987.8533  -15991.6377       3.7844   298.8
0.0895      -15987.8556  -15991.6457       3.7900   299.2
0.0900      -15987.8545  -15991.5540       3.6996   292.1
0.0905      -15987.8458  -15991.3682       3.5223   278.1
0.0910      -15987.8271  -15991.1461       3.3190   262.0
0.0915      -15987.7996  -15990.9647       3.1651   249.9
0.0920      -15987.7674  -15990.8837       3.1163   246.0
0.0925      -15987.7354  -15990.9235       3.1882   251.7
0.0930      -15987.7085  -15991.0624       3.3539   264.8
0.0935      -15987.6911  -15991.2474       3.5563   280.7
0.0940      -15987.6828  -15991.4122       3.7294   294.4
0.0945      -15987.6810  -15991.4995       3.8185   301.4
0.0950      -15987.6805  -15991.4840       3.8035   300.3
0.0955      -15987.6756  -15991.3898       3.7142   293.2
