      Step     Time          Energy          fmax
BFGS:    0 23:39:47      118.497530      100.885794
BFGS:    1 23:39:47      100.254237       22.966874
BFGS:    2 23:39:47       95.103965       13.511550
BFGS:    3 23:39:47       92.768821        6.233351
BFGS:    4 23:39:48       91.656040        3.241380
BFGS:    5 23:39:48       91.116063        1.561723
BFGS:    6 23:39:48       90.773001        1.166790
BFGS:    7 23:39:48       90.645797        1.270146
BFGS:    8 23:39:48       90.590164        1.137870
BFGS:    9 23:39:48       90.504750        0.768771
BFGS:   10 23:39:48       90.428358        0.620424
BFGS:   11 23:39:48       90.388199        0.424353
BFGS:   12 23:39:48       90.367232        0.492744
BFGS:   13 23:39:49       90.341333        0.498446
BFGS:   14 23:39:49       90.313515        0.573456
BFGS:   15 23:39:49       90.286869        0.575644
BFGS:   16 23:39:49       90.265503        0.323053
BFGS:   17 23:39:49       90.249956        0.226100
BFGS:   18 23:39:49       90.237722        0.352012
BFGS:   19 23:39:49       90.223040        0.514377
BFGS:   20 23:39:49       90.209367        0.392776
